,Skip,Loss,train-acc,test-acc
0,0.0,2.2407747143507004,23.380000000000003,29.26
1,0.0,2.032853043496609,27.755000000000003,34.81
2,0.0,1.916901758770148,31.183333333333334,42.32
3,0.0,1.8251892331093549,34.2675,39.73
4,0.0,1.7549400012850762,36.730000000000004,43.47
5,0.0,1.3561803225278855,51.690000000000005,54.96
6,0.0,1.3094966040402651,53.385000000000005,58.97
7,0.0,1.2708621043562889,54.900000000000006,65.71
8,0.0,1.2388216022476555,56.1725,57.72
9,0.0,1.210717064383626,57.036,64.66
10,0.0,1.0074080238640308,64.64,65.81
11,0.0,0.990063095331192,65.535,61.53
12,0.0,0.9762698736141125,66.11333333333333,71.18
13,0.0,0.9572633516229689,66.655,72.44
14,0.0,0.936034096750617,67.418,75.71
15,0.0,0.8031311716139317,72.15,74.95
16,0.0,0.7865888021551073,72.665,73.78
17,0.0,0.7803553767874837,73.0,69.68
18,0.0,0.7730245076324791,73.2025,68.7
19,1.0,0.7639774295985698,73.48,78.19
20,1.0,0.698423996862024,75.98,74.85
21,2.0,0.6745833150409162,76.815,81.04
22,3.0,0.6718434575696787,76.87333333333333,76.56
23,5.0,0.6654584248606116,77.12,77.2
24,5.0,0.6607011798761785,77.366,77.74
25,5.0,0.5926795258186758,79.60000000000001,80.33
26,5.0,0.6007079423293471,79.365,81.87
27,5.0,0.5925830638495584,79.63666666666667,83.85
28,7.0,0.587865621753037,79.765,76.05
29,11.0,0.5824627835527062,79.928,83.45
30,13.0,0.5198301709070802,82.32000000000001,81.75
31,15.0,0.5231046912679449,82.16499999999999,82.77
32,17.0,0.5226557940573742,82.10333333333332,82.42
33,19.0,0.5199490963704884,82.1275,83.14
34,22.0,0.5176503794573247,82.232,82.93
35,27.0,0.4931933001540601,82.76,81.18
36,29.0,0.48954936290252954,83.07,79.01
37,34.0,0.48400752640391387,83.37333333333333,81.73
38,36.0,0.4794675624263473,83.42,81.55
39,44.0,0.47316170455552636,83.664,82.82
40,51.0,0.4381184600442648,85.06,84.0
41,60.0,0.43848222863394765,84.89,84.73
42,69.0,0.4327432523298388,84.92333333333333,83.51
43,75.0,0.4357587502968963,84.85000000000001,81.97
44,86.0,0.4343036793118343,84.966,84.68
45,97.0,0.4095688918363303,86.14,83.82
46,107.0,0.40235709977988154,86.295,83.24
47,127.0,0.40226891298623135,86.44333333333334,85.19
48,140.0,0.4012675425519701,86.3425,83.88
49,156.0,0.40289731170609594,86.344,86.08
50,173.0,0.3747585474504158,87.37,87.05
51,188.0,0.38381173052033407,86.97500000000001,85.72
52,214.0,0.38007531566064184,86.99666666666667,85.95
53,247.0,0.37511606101843065,87.1075,86.28
54,265.0,0.376429250951577,87.054,84.88
55,287.0,0.33254419486783443,88.92,86.57
56,305.0,0.34364689473807813,88.49000000000001,84.98
57,326.0,0.34892485503953263,88.15666666666667,83.43
58,358.0,0.35008201493130764,88.0825,85.88
59,386.0,0.34953109461111015,88.07199999999999,85.2
60,417.0,0.33195765325333926,88.94999999999999,87.99
