,Skip,Loss,train-acc,test-acc
0,0.0,4.503661403894425,2.13,15.14
1,0.0,4.389780151367187,2.895,20.67
2,0.0,4.309456700007121,3.47,24.1
3,0.0,4.249667544603348,3.9849999999999994,29.2
4,0.0,4.1931697877407075,4.618,31.52
5,0.0,3.90309747838974,8.44,34.53
6,0.0,3.8594408692121505,8.709999999999999,37.12
7,0.0,3.8258472038904827,9.17,39.96
8,0.0,3.792891856610775,9.7375,38.44
9,0.0,3.763390802812576,10.2,42.87
10,0.0,3.575235533952713,13.19,40.84
11,0.0,3.5454048017263413,13.685,48.96
12,0.0,3.5238457151254017,14.283333333333333,44.87
13,0.0,3.499303817987442,14.702499999999999,50.94
14,0.0,3.4729470998764036,15.204,52.26
15,0.0,3.3061074409484865,18.4,51.5
16,0.0,3.289255193114281,18.759999999999998,55.36
17,0.0,3.2692297743956247,19.096666666666668,56.2
18,0.0,3.2494440373480318,19.465,57.99
19,0.0,3.226411811900139,19.747999999999998,55.72
20,0.0,3.077395045876503,22.49,56.83
21,0.0,3.0570075100660326,22.905,59.17
22,0.0,3.045357176740964,22.89333333333333,63.63
23,0.0,3.029688392341137,23.302500000000002,63.94
24,0.0,3.0117315475702284,23.72,65.61
25,0.0,2.868373190641403,26.5,65.95
26,1.0,2.8619368347525596,26.44,66.9
27,1.0,2.85148473016421,26.673333333333332,63.43
28,1.0,2.827971216470003,27.2225,66.62
29,3.0,2.8096217906951906,27.636,66.05
30,4.0,2.693830852508545,30.19,67.02
31,4.0,2.6806127499341965,30.490000000000002,69.61
32,5.0,2.67568905544281,30.630000000000003,67.55
33,5.0,2.6623895691931247,30.777500000000003,70.24
34,5.0,2.6442458554267882,31.168000000000003,69.66
35,7.0,2.5466101974248887,33.54,71.25
36,8.0,2.5384291479885577,33.695,73.48
37,10.0,2.53275055817763,33.78333333333333,70.25
38,11.0,2.515744598954916,34.17,71.45
39,14.0,2.5106401450395586,34.238,73.9
40,14.0,2.395029706954956,36.75,74.88
41,18.0,2.3992563809752463,36.58,74.43
42,20.0,2.3969996756712595,36.58,74.82
43,25.0,2.39326085396111,36.735,75.17
44,28.0,2.392062544989586,36.764,75.4
45,33.0,2.309107408106327,38.379999999999995,75.51
46,35.0,2.2984164485931395,38.745000000000005,76.87
47,37.0,2.2934753057161967,38.95333333333333,74.48
48,39.0,2.290343679994345,39.045,76.79
49,43.0,2.2881213904619218,39.11,77.55
50,55.0,2.174805833220482,41.29,76.18
51,68.0,2.1950049918293955,41.105000000000004,75.8
52,79.0,2.2094062020381293,41.05,77.47
53,85.0,2.2036863809376954,41.089999999999996,78.3
54,101.0,2.201268091404438,41.192,78.1
55,107.0,2.113166113615036,43.03,76.7
56,117.0,2.1214584487974646,42.915,78.31
57,132.0,2.115503188371658,43.156666666666666,79.09
58,143.0,2.1180144286751745,43.075,78.38
59,153.0,2.119797781646252,43.078,78.51
60,164.0,2.0808871353268623,43.72,79.48
61,182.0,2.0761852371692657,43.97,80.16
62,193.0,2.0593143900434177,44.24,78.97
63,205.0,2.0569394775033,44.365,79.62
64,221.0,2.059912392425537,44.382,80.68
65,234.0,1.987690902352333,45.540000000000006,80.5
66,257.0,1.9872275788486005,45.735,80.48
67,272.0,1.9937668371597925,45.79333333333334,80.79
68,291.0,1.9946899514719845,45.755,80.22
69,315.0,1.9924110481202602,45.966,81.4
70,335.0,1.8844639001190662,48.91,80.62
71,358.0,1.9069838352054358,48.095,80.34
72,371.0,1.9248023731410504,47.626666666666665,82.06
73,398.0,1.9240161021128297,47.712500000000006,82.28
74,419.0,1.9249892251849174,47.684,80.61
75,448.0,1.8483143879771233,49.7,81.56
76,477.0,1.858740153506398,49.565,81.9
77,497.0,1.860940656820933,49.17666666666667,80.64
78,523.0,1.8559601991027594,49.1725,80.71
79,547.0,1.8600498569846153,49.208,82.35
80,578.0,1.7998012498021125,50.449999999999996,82.1
81,604.0,1.8030620244592428,50.455000000000005,81.27
82,634.0,1.8169353088239828,50.28333333333334,82.47
83,675.0,1.8204677221551537,50.22,83.5
84,703.0,1.8252723116576672,50.224000000000004,84.19
85,734.0,1.7397305059432984,51.949999999999996,82.84
86,770.0,1.7489696822464467,51.74999999999999,84.04
87,809.0,1.758947897007068,51.35666666666666,82.55
88,847.0,1.7600968692004682,51.277499999999996,83.85
89,877.0,1.7649832111239434,51.236000000000004,81.99
90,910.0,1.7237162947058677,52.66,83.45
91,949.0,1.7271730781197547,52.37500000000001,83.73
92,989.0,1.724605598072211,52.43333333333333,83.61
93,1037.0,1.7262482037693263,52.3675,83.34
94,1086.0,1.7262712639212607,52.422000000000004,83.46
95,1128.0,1.6549417133033275,53.949999999999996,83.42
96,1164.0,1.6775279294252397,53.339999999999996,83.15
97,1210.0,1.6739078884273768,53.30666666666667,83.99
98,1258.0,1.6768659689314664,53.2975,84.19
99,1296.0,1.6800008464127778,53.278000000000006,84.39
100,1354.0,1.614875122845173,54.63,84.22
101,1396.0,1.6168004422336817,54.949999999999996,84.45
102,1434.0,1.6297952326834202,54.65,83.19
103,1479.0,1.6389105687811971,54.3425,84.68
104,1520.0,1.6409012085497379,54.35,85.53
105,1569.0,1.6009276963174344,54.85,84.89
106,1623.0,1.6111143230348826,54.94,84.88
107,1682.0,1.611655736386776,54.903333333333336,85.37
108,1731.0,1.6171868554577231,54.832499999999996,84.35
109,1777.0,1.6162934417784214,54.925999999999995,85.6
110,1838.0,1.5522824599444867,57.34,85.16
111,1892.0,1.5605978101044893,56.65,83.21
112,1960.0,1.554983441601197,56.763333333333335,85.68
113,2009.0,1.5650498658940195,56.285,84.33
114,2056.0,1.5682834318876266,56.264,85.0
115,2114.0,1.5077125709950925,57.220000000000006,85.18
116,2178.0,1.5166346115022897,57.184999999999995,85.03
117,2248.0,1.5258038423458735,56.873333333333335,85.78
118,2314.0,1.5342558050602675,56.779999999999994,85.39
119,2379.0,1.5368610740721225,56.852000000000004,84.97
120,2451.0,1.4819636668264866,58.32000000000001,85.08
121,2512.0,1.4917897534519433,57.940000000000005,85.16
122,2589.0,1.5004726584553718,57.54,84.8
123,2647.0,1.5002529373466968,57.52,85.03
124,2715.0,1.5040186340034007,57.492,85.12
125,2792.0,1.454304190903902,58.89,85.79
126,2873.0,1.4755020565986634,58.41,86.18
127,2957.0,1.47585490945975,58.42,85.23
128,3027.0,1.4772906854972243,58.294999999999995,85.97
129,3110.0,1.4830066123008727,58.23199999999999,84.59
130,3187.0,1.4107472406178714,60.68,86.03
131,3254.0,1.42406557354331,60.019999999999996,85.82
132,3327.0,1.439818564797441,59.64333333333334,86.39
133,3418.0,1.4449565462879836,59.47,85.64
134,3493.0,1.4483348405152559,59.330000000000005,86.47
135,3564.0,1.4022170859128236,60.480000000000004,86.29
136,3643.0,1.4056897687539458,60.160000000000004,86.46
137,3714.0,1.4143478978375594,59.88333333333333,86.43
138,3791.0,1.4091471473500132,60.075,85.97
139,3871.0,1.4162624892055988,59.833999999999996,86.24
140,3954.0,1.3715276167988777,61.14000000000001,86.22
141,4032.0,1.3701398729234935,61.095,85.11
142,4116.0,1.3708719963828722,61.040000000000006,85.21
143,4202.0,1.3769856290407478,60.855000000000004,86.05
144,4294.0,1.384243057116866,60.734,86.98
145,4385.0,1.3206383668035269,62.31,87.0
146,4473.0,1.3484478434547782,61.47,86.51
147,4555.0,1.3492358675847451,61.47666666666667,85.88
148,4643.0,1.3522932900600135,61.197500000000005,86.67
149,4732.0,1.3597616738140583,61.134,85.72
150,4734.0,1.2104666932672261,65.13,88.3
151,4734.0,1.1799683905020357,65.91,88.4
152,4734.0,1.1568593714659412,66.62,88.6
153,4734.0,1.145313890820369,66.82000000000001,88.86
154,4734.0,1.1338519722282887,67.096,89.09
155,4998.0,1.0632641875073314,68.47999999999999,88.83
156,5291.0,1.0708680865503848,68.07,88.86
157,5615.0,1.071591426504155,68.28999999999999,88.87
158,5975.0,1.0702005137149244,68.5275,88.86
159,6258.0,1.071576466998458,68.582,89.21
160,6593.0,1.035169435493648,69.65,88.8
161,6891.0,1.042042248353362,69.43,88.92
162,7193.0,1.034284368366003,69.48,89.03
163,7516.0,1.0363895526714624,69.5,89.13
164,7829.0,1.0394437131136656,69.45400000000001,89.17
165,8184.0,1.020647229846567,69.67999999999999,89.03
166,8550.0,1.0171448607128113,69.655,89.09
167,8908.0,1.0230623499738674,69.77333333333333,89.04
168,9231.0,1.0266442445581778,69.62,89.13
169,9595.0,1.0272530771948398,69.568,89.0
170,9965.0,1.006990423619747,70.09,89.02
171,10322.0,1.0126364865228534,70.02000000000001,88.94
172,10741.0,1.0155447099705537,69.82666666666667,89.18
173,11144.0,1.016152468154207,69.88499999999999,89.41
174,11527.0,1.0152493146345019,70.07,89.08
175,11926.0,0.9954418429583312,71.08,89.14
176,12323.0,1.0051767786704005,70.395,89.29
177,12747.0,1.006513927616179,70.39333333333333,89.41
178,13173.0,1.001854727877304,70.4925,89.25
179,13542.0,0.9996524815782905,70.50999999999999,89.21
180,13952.0,0.9771627523750067,71.08,89.08
181,14345.0,0.9818526473268867,70.91499999999999,89.31
182,14751.0,0.9881720581178863,70.86666666666666,89.19
183,15118.0,0.9911352546941489,70.55749999999999,89.22
184,15549.0,0.9893042604371906,70.638,89.12
185,15938.0,0.9689309692904353,71.43,89.32
186,16340.0,0.9582581949532032,71.67999999999999,89.05
187,16818.0,0.9696912689407666,71.34333333333333,88.94
188,17272.0,0.9790334491543472,71.0,89.23
189,17690.0,0.9836608118355274,70.836,89.09
190,18134.0,0.9931503249518573,71.34,89.01
191,18537.0,0.9849202537741512,71.085,89.28
192,18982.0,0.9733705853186547,71.30333333333333,89.43
193,19410.0,0.970596624081023,71.41,89.36
194,19850.0,0.9676485391058027,71.434,89.07
195,20272.0,0.9463270370140672,71.84,89.01
196,20730.0,0.9519859206154943,71.675,89.11
197,21240.0,0.9633439130807916,71.28666666666666,88.95
198,21624.0,0.9575702870842069,71.485,89.3
199,22036.0,0.9621646789878607,71.406,89.05
200,22460.0,0.9567617943584918,71.24000000000001,89.15
201,22937.0,0.9536413564160466,71.455,89.12
202,23438.0,0.9522846811165412,71.56666666666666,89.1
203,23868.0,0.9519597612973303,71.7025,89.09
204,24291.0,0.9505526621088386,71.714,89.19
205,24740.0,0.9493453850895166,71.92,89.22
206,25252.0,0.9493737759776414,71.99,88.91
207,25730.0,0.9495170387004812,72.04333333333334,89.17
208,26176.0,0.9443292581830174,71.995,89.17
209,26612.0,0.9520404945224523,71.694,89.2
210,27015.0,0.934854051373899,72.05,89.13
211,27493.0,0.9191705161333084,72.35000000000001,88.95
212,27993.0,0.9327695952355861,72.13333333333334,88.74
213,28445.0,0.9353972047530115,72.135,88.94
214,28863.0,0.9388658702969551,72.126,88.99
215,29360.0,0.9311649231538176,71.93,88.91
216,29801.0,0.923272920910269,72.195,89.38
217,30283.0,0.9213157762512565,72.37666666666667,88.83
218,30777.0,0.9258962714057416,72.22,88.98
219,31235.0,0.9287565101608634,72.258,89.23
220,31774.0,0.9019465440660716,72.88,88.98
221,32267.0,0.9159514520280063,72.52499999999999,89.05
222,32722.0,0.9144546032547951,72.43333333333334,89.09
223,33214.0,0.9127313337549567,72.6775,88.86
224,33683.0,0.918745296779275,72.434,89.13
225,34256.0,0.9267440078407526,72.41,88.67
226,34754.0,0.9369187123551965,72.18,89.15
227,35310.0,0.9325871502285202,72.30333333333333,89.16
228,35780.0,0.932395703477785,72.135,89.2
229,36250.0,0.9285336441241204,72.224,89.23
230,36699.0,0.8843402534201741,73.17,89.36
231,37216.0,0.8932900901697576,72.99,89.07
232,37720.0,0.9010617000237108,72.87,89.08
233,38243.0,0.9036939802616835,72.85249999999999,89.07
234,38775.0,0.9116076604858041,72.566,89.23
235,39263.0,0.9173694416806102,72.53,89.22
236,39790.0,0.9106022135056555,72.765,89.15
237,40301.0,0.9091927673891187,72.82,89.28
238,40833.0,0.9121767995525152,72.77,89.05
239,41322.0,0.9119003836229443,72.866,89.14
240,41823.0,0.8796680606454611,73.64,89.08
241,42295.0,0.8881414894349873,73.45,89.33
242,42775.0,0.8942680112197995,73.29333333333334,89.25
243,43309.0,0.8919193512015045,73.315,89.01
244,43869.0,0.8988674383401871,73.084,89.12
245,44382.0,0.8889491957202553,73.27,89.02
246,44854.0,0.9078200018443168,72.585,89.1
247,45362.0,0.9000661247347792,72.93666666666667,89.12
248,45883.0,0.8968229434601963,73.02250000000001,89.12
249,46443.0,0.8954650068461895,73.138,88.71
