,Skip,Loss,train-acc,test-acc
0,0.0,4.1931697877407075,4.618,31.52
1,0.0,3.763390802812576,10.2,42.87
2,0.0,3.4729470998764036,15.204,52.26
3,0.0,3.226411811900139,19.747999999999998,55.72
4,0.0,3.0117315475702284,23.72,65.61
5,3.0,2.8096217906951906,27.636,66.05
6,2.0,2.6442458554267882,31.168000000000003,69.66
7,9.0,2.5106401450395586,34.238,73.9
8,14.0,2.392062544989586,36.764,75.4
9,15.0,2.2881213904619218,39.11,77.55
10,58.0,2.201268091404438,41.192,78.1
11,52.0,2.119797781646252,43.078,78.51
12,68.0,2.059912392425537,44.382,80.68
13,94.0,1.9924110481202602,45.966,81.4
14,104.0,1.9249892251849174,47.684,80.61
15,128.0,1.8600498569846153,49.208,82.35
16,156.0,1.8252723116576672,50.224000000000004,84.19
17,174.0,1.7649832111239434,51.236000000000004,81.99
18,209.0,1.7262712639212607,52.422000000000004,83.46
19,210.0,1.6800008464127778,53.278000000000006,84.39
20,224.0,1.6409012085497379,54.35,85.53
21,257.0,1.6162934417784214,54.925999999999995,85.6
22,279.0,1.5682834318876266,56.264,85.0
23,323.0,1.5368610740721225,56.852000000000004,84.97
24,336.0,1.5040186340034007,57.492,85.12
25,395.0,1.4830066123008727,58.23199999999999,84.59
26,383.0,1.4483348405152559,59.330000000000005,86.47
27,378.0,1.4162624892055988,59.833999999999996,86.24
28,423.0,1.384243057116866,60.734,86.98
29,438.0,1.3597616738140583,61.134,85.72
30,2.0,1.1338519722282887,67.096,89.09
31,1524.0,1.071576466998458,68.582,89.21
32,1571.0,1.0394437131136656,69.45400000000001,89.17
33,1766.0,1.0272530771948398,69.568,89.0
34,1932.0,1.0152493146345019,70.07,89.08
35,2015.0,0.9996524815782905,70.50999999999999,89.21
36,2007.0,0.9893042604371906,70.638,89.12
37,2141.0,0.9836608118355274,70.836,89.09
38,2160.0,0.9676485391058027,71.434,89.07
39,2186.0,0.9621646789878607,71.406,89.05
40,2255.0,0.9505526621088386,71.714,89.19
41,2321.0,0.9520404945224523,71.694,89.2
42,2251.0,0.9388658702969551,72.126,88.99
43,2372.0,0.9287565101608634,72.258,89.23
44,2448.0,0.918745296779275,72.434,89.13
45,2567.0,0.9285336441241204,72.224,89.23
46,2525.0,0.9116076604858041,72.566,89.23
47,2547.0,0.9119003836229443,72.866,89.14
48,2547.0,0.8988674383401871,73.084,89.12
49,2574.0,0.8954650068461895,73.138,88.71
