,Skip,Loss,train-acc,test-acc
0,180.0,0.8410405260585249,78.44,89.05
1,402.0,0.6057415530057624,83.99,90.83
2,717.0,0.5049508341606707,86.32333333333332,92.19000000000001
3,1043.0,0.4482128468181472,87.7725,92.60000000000001
4,1385.0,0.4115159640600905,88.70400000000001,93.60000000000001
5,1741.0,0.38166076020756734,89.46166666666666,94.16
6,2179.0,0.20583471742272377,94.19999999999999,94.39
7,2576.0,0.19955056381924077,94.51,94.91000000000001
8,3029.0,0.19015320012408,94.72,95.24000000000001
9,3461.0,0.18548748811200494,94.91000000000001,95.64
10,3927.0,0.1791455586236436,95.088,95.89
11,4409.0,0.1749244513755742,95.16,95.93
12,4904.0,0.13137954117450862,96.50999999999999,96.35000000000001
13,5404.0,0.1296107032049913,96.565,96.06
14,5922.0,0.1251961142059105,96.61,96.69
15,6441.0,0.12410670062317512,96.60499999999999,96.76
16,6988.0,0.12184286002307199,96.69200000000001,96.69
17,7507.0,0.1217702346079944,96.67166666666667,96.97
18,8048.0,0.09710639706160873,97.44,96.84
19,8589.0,0.09239233150269138,97.57000000000001,96.99
20,9128.0,0.09299474922404624,97.56666666666666,97.08
21,9689.0,0.0935073615720612,97.5325,97.13000000000001
22,10247.0,0.09357758561843074,97.54,97.26
23,10831.0,0.09266932531075629,97.56333333333333,97.22
24,11414.0,0.0737507485592505,97.99,97.27
25,11989.0,0.07511342968989629,98.095,97.36
26,12527.0,0.07623676809070942,97.97333333333333,97.34
27,13116.0,0.07474357339332346,98.0525,97.32
28,13709.0,0.0741674029334099,98.074,97.46000000000001
29,14291.0,0.07441026121125711,98.04166666666667,97.65
30,14903.0,0.06512354774738197,98.42999999999999,97.61999999999999
31,15533.0,0.06293901049892883,98.44500000000001,97.8
32,16141.0,0.06157293277210556,98.48,97.53
33,16753.0,0.061062482648994776,98.46000000000001,97.52
34,17364.0,0.060699371938291,98.454,97.76
35,17966.0,0.060350557754553544,98.44166666666668,97.65
36,18583.0,0.04994657030317467,98.78,97.53
37,19209.0,0.05147697855418664,98.745,97.69
38,19840.0,0.051725902283234364,98.69,97.61999999999999
39,20456.0,0.05176319130534102,98.6525,97.65
40,21096.0,0.05028827633631299,98.72,97.66
41,21723.0,0.05022499047565604,98.72166666666666,97.78999999999999
42,22385.0,0.03805152909841854,99.18,97.76
43,22999.0,0.039862452905072135,99.09,97.97
44,23614.0,0.041188562638077804,99.00666666666666,98.06
45,24247.0,0.04147941264439578,98.9725,97.72999999999999
46,24895.0,0.0423458695768757,98.942,97.92
47,25528.0,0.042597091930207776,98.92666666666666,97.82
48,26205.0,0.03518241866168682,99.28,97.99
49,26851.0,0.03582475509287906,99.29,97.78999999999999
50,27503.0,0.035888549432493165,99.21333333333334,98.03
51,28159.0,0.03559379542226452,99.21,97.98
52,28811.0,0.03555636421990057,99.19,97.8
53,29476.0,0.03547787292164139,99.18166666666667,97.92
54,30140.0,0.03078899569346686,99.37,97.92
55,30849.0,0.029027608938864434,99.41499999999999,97.92999999999999
56,31503.0,0.031267532000953606,99.30666666666667,97.92999999999999
