,Skip,Loss,train-acc,test-acc
0,0.0,1.4529220676004886,47.486,62.61
1,9.0,0.9307893609046936,67.45400000000001,75.85
2,60.0,0.7364045883074403,74.58200000000001,79.78
3,171.0,0.6233650777194649,78.52,80.92
4,271.0,0.546801362818852,81.27600000000001,83.14
5,380.0,0.4899783972840756,83.004,84.53
6,513.0,0.4432817425366491,84.80799999999999,85.2
7,646.0,0.40593261943906545,85.99,85.32
8,751.0,0.37322590841799974,87.056,86.92
9,875.0,0.3559375444607809,87.748,87.64
10,1044.0,0.32927473580501976,88.75,87.91
11,1127.0,0.30744635014357047,89.462,88.14
12,1214.0,0.2933269556984771,90.05,88.45
13,1309.0,0.27354460400184616,90.55199999999999,88.34
14,1420.0,0.26207134257238357,91.046,88.97
15,1496.0,0.24519221806828864,91.46,89.02
16,1538.0,0.23702169694788755,91.75,89.24
17,1668.0,0.22675026338121387,92.208,89.64
18,1698.0,0.217192262275517,92.542,89.69
19,1813.0,0.21092160935471765,92.72,89.91
20,1353.0,0.1610940913119237,94.64399999999999,91.51
21,2936.0,0.12617632601186632,95.918,91.67
22,2968.0,0.11593472055703169,96.334,91.74
23,3001.0,0.1083932749219006,96.568,91.68
24,3009.0,0.10195837828496006,96.80199999999999,92.01
25,3010.0,0.09831141309473314,96.858,92.17
26,2945.0,0.09231023418944097,97.14,91.89
27,3041.0,0.09131377909285365,97.15,92.15
28,3045.0,0.08344476898869034,97.452,91.59
29,3029.0,0.08215269834363717,97.434,91.93
