,Skip,Loss,train-acc,test-acc
0,0.0,4.210907115793228,4.478,35.13
1,0.0,3.69120135807991,10.986,47.59
2,0.0,3.354672601246834,16.902,57.15
3,1.0,3.064004771351814,22.698,64.21
4,19.0,2.8367881759643554,26.996,68.68
5,41.0,2.6359151795625686,30.936000000000003,72.07
6,91.0,2.472193406176567,34.562,75.5
7,122.0,2.353144946682453,37.618,77.14
8,164.0,2.2343884434223176,40.23,78.98
9,207.0,2.1433838436841963,42.314,80.07
10,264.0,2.057738294970989,44.230000000000004,81.0
11,326.0,1.9892763636291027,45.826,81.67
12,359.0,1.930302539205551,47.392,82.56
13,366.0,1.8738094813704491,48.518,82.63
14,411.0,1.8109974056959153,49.964,82.68
15,466.0,1.7532503330230713,51.526,84.07
16,514.0,1.706439896184206,52.800000000000004,84.56
17,540.0,1.6628688286185265,53.846000000000004,84.74
18,564.0,1.624169604831934,54.818,85.65
19,602.0,1.5804620717108249,55.681999999999995,85.11
20,623.0,1.5456619199573993,56.592,85.86
21,735.0,1.5155920856237413,57.462,86.26
22,720.0,1.4842565287947656,58.07,86.01
23,769.0,1.4527678964793682,58.797999999999995,87.08
24,793.0,1.4136833175748587,59.768,86.32
25,908.0,1.4040609863132238,60.11,86.85
26,887.0,1.369037318894267,60.972,87.42
27,936.0,1.3448170047894121,61.7,87.39
28,1065.0,1.3284560478359462,62.050000000000004,87.41
29,1044.0,1.2982740491181612,62.773999999999994,87.6
30,11.0,1.11725439876616,67.164,89.24
31,1889.0,1.0160822108730674,69.92399999999999,89.45
32,2174.0,0.9909285187989474,70.958,89.64
33,2341.0,0.9691912544406951,71.112,89.3
34,2529.0,0.9574323727607728,71.636,89.39
35,2666.0,0.942144300955534,71.914,89.58
36,2690.0,0.9296018430933356,72.238,89.67
37,2773.0,0.9207733386829495,72.638,89.67
38,2826.0,0.9093529715448618,72.78,89.58
39,2863.0,0.9005567135803402,73.298,89.57
40,3081.0,0.8982459232464433,73.116,89.21
41,2826.0,0.8823939479075372,73.514,89.48
42,2871.0,0.869653629963845,73.944,89.64
43,3115.0,0.8694035747677088,73.958,89.5
44,3208.0,0.864727787618339,73.97200000000001,89.57
45,3306.0,0.8742987602114678,73.82600000000001,89.35
46,3142.0,0.8545653723761439,74.046,89.18
47,3431.0,0.8584335805736483,74.548,89.24
48,3344.0,0.8523058457486331,74.488,89.51
49,3375.0,0.8440822876460851,74.66000000000001,89.21
